DATE,TESTER,PRODUCT,LOT NUMBER,TEST STEP,DATE LOT STARTED,LAST UPDATE,TOTAL IN,HANDLER,STATUS,LOADING COUNTS,TOTAL,AUTO1,AUTO2,AUTO3,LAST UPDATE (2),ENDLOT,ENDLOT_TESTER_RAW
2026-01-16 11:26:50,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-01-16 11:20:14,60181,NS-3,error,22416,22343,17124,2959,2237,2026-01-16 11:21:54,0,
2026-01-16 11:30:22,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,error,22416,22343,17124,2959,2237,2026-01-16 11:21:54,0,
2026-01-16 11:37:24,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-01-16 11:20:14,60181,NS-3,error,22416,22343,17124,2959,2237,2026-01-16 11:32:29,0,
2026-01-16 22:08:28,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-16 21:37:59,56858,NS-5,error,4542,4471,2316,573,1413,2026-01-16 21:36:47,0,
2026-01-16 22:15:30,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-16 21:37:59,56858,NS-5,error,4542,4471,2316,573,1413,2026-01-16 21:43:03,0,
2026-01-17 10:49:10,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,error,28188,28109,21594,3769,2718,2026-01-17 10:17:38,0,
2026-01-17 10:59:42,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-16 21:37:59,56858,NS-5,stopped,4542,4471,2316,573,1413,2026-01-17 10:26:22,0,
2026-01-17 11:17:16,HP-2,ES982X,TGWDSXX959,FT,2026-01-08 13:33:35,2026-01-08 13:33:35,135393,CHROMA,error,90123,90116,87034,2044,1038,2026-01-17 10:47:10,0,
2026-01-17 13:26:59,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-16 21:37:59,56858,NS-5,maint,4542,4471,2316,573,1413,2026-01-17 12:54:20,0,
2026-01-18 18:33:54,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,error,31344,31265,1,1,2974,2026-01-18 18:26:31,0,
2026-01-19 09:22:41,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-01-19 09:05:34,60181,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 09:16:20,0,
2026-01-19 09:32:49,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 09:21:30,0,
2026-01-19 09:43:29,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-01-19 09:05:34,60181,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 09:36:57,0,
2026-01-19 09:50:39,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 09:42:06,0,
2026-01-19 10:01:13,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-01-19 09:05:34,60181,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 09:57:34,0,
2026-01-19 10:04:45,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 09:57:34,0,
2026-01-19 10:08:15,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-01-19 09:05:34,60181,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 10:02:43,0,
2026-01-19 10:11:49,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 10:07:52,0,
2026-01-19 10:22:19,S100_1,ES9843QPRO,TGWFS0XW86,70C_FT1,2026-01-16 11:20:14,2026-01-19 09:05:34,60181,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 10:18:11,0,
2026-01-19 10:25:59,S100_2,ES9822QPRO,TGWBS04R21,FT1,2026-01-13 12:25:08,2026-01-19 10:22:15,56858,NS-4,running,45503,45494,3257,0,5844,2026-01-19 10:21:46,0,
2026-01-19 15:26:02,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,stopped,35936,35873,5,4,3338,2026-01-19 15:22:12,0,
2026-01-19 15:56:14,HP-1,ESCR03W,TGWAS08T65,FT,2025-10-02 10:47:30,2025-10-16 17:17:34,76775,NS-3,running,35936,35873,5,4,3338,2026-01-19 15:47:59,0,
2026-01-19 16:06:44,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-19 16:02:22,56858,NS-5,running,8874,8798,1,81,2708,2026-01-19 15:59:53,0,
2026-01-19 16:20:46,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-19 16:17:11,56858,NS-5,running,8962,8886,1,1,2735,2026-01-19 16:15:23,0,
2026-01-19 17:23:55,HP-2,ES982X,TGWDSXX959,FT,2026-01-08 13:33:35,2026-01-08 13:33:35,135393,CHROMA,running,100869,100362,16711,2421,1140,2026-01-19 17:15:45,0,
2026-01-19 17:41:27,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-19 17:37:52,56858,NS-5,running,9394,9318,1,118,2841,2026-01-19 17:33:01,0,
2026-01-19 17:48:29,HP-2,ES982X,TGWDSXX959,FT,2026-01-08 13:33:35,2026-01-08 13:33:35,135393,CHROMA,running,100681,100624,16818,2430,1201,2026-01-19 17:41:46,0,
2026-01-19 19:09:09,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-19 19:05:14,56858,NS-5,running,9598,9522,1,11,2889,2026-01-19 19:00:45,0,
2026-01-19 20:40:21,AP-2,ES9822,TGWBS04R21,25C_BIN1_65C_FT-1,2026-01-16 10:55:00,2026-01-19 20:36:45,56858,NS-5,running,10202,10124,1,4,3013,2026-01-19 20:34:05,0,
2026-01-20 10:49:54,S100_1,ES9843QPRO,TDWDS13A84,70C_FT1,2026-01-20 09:20:54,2026-01-20 09:23:43,,NS-3,error,35936,35873,5,4,3338,2026-01-20 10:42:34,0,
2026-01-20 12:17:38,S100_1,ES9291Q,TDWDS13A84,FT1,2026-01-20 10:46:13,2026-01-20 12:14:03,,NS-3,running,688,680,1,11,93,2026-01-20 12:10:35,0,
2026-01-20 12:21:08,S100_1,ES9291Q,TDWDS13A84,NA,2026-01-20 10:46:13,2026-01-20 12:17:30,,NS-3,running,736,728,1,11,97,2026-01-20 12:15:45,0,
2026-01-20 12:35:12,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 10:46:13,2026-01-20 12:31:33,64285,NS-3,running,880,872,7,11,116,2026-01-20 12:31:18,0,
2026-01-20 12:38:42,S100_1,ES9291Q,TGWDS13A84,NA,2026-01-20 12:32:55,2026-01-20 12:35:06,64285,NS-3,running,880,872,7,11,116,2026-01-20 12:31:18,0,
2026-01-20 12:59:46,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:55,2026-01-20 12:39:05,64285,NS-3,stopped,928,918,3,11,122,2026-01-20 12:51:59,0,
2026-01-20 13:03:16,S100_1,ES9291Q,TGWDS13A84,NA,2026-01-20 12:58:44,2026-01-20 12:59:41,64285,NS-3,stopped,928,918,3,11,122,2026-01-20 12:57:09,0,
2026-01-20 15:23:33,S100_2,ES9822QPRO,TGWBS04R21,25CC_FT1,2026-01-14 09:11:54,2026-01-20 15:11:51,56858,NS-4,stopped,56854,56848,1123,8521,7204,2026-01-20 15:19:44,0,
2026-01-21 10:36:21,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-21 10:28:39,64285,NS-3,stopped,8940,8931,6467,0,2444,2026-01-21 10:32:23,0,
2026-01-21 12:18:17,S100_1,ES9291Q,TGWDS13A84,NA,2026-01-21 10:32:05,2026-01-21 10:37:03,64285,NS-3,stopped,8940,8931,6467,0,2444,2026-01-21 12:00:36,0,
2026-01-21 13:46:07,S100_1,ES9291Q,TGWDS13A84,70C_FT1,2026-01-20 12:32:50,2026-01-21 13:42:22,64285,NS-3,running,9780,9771,7127,0,2623,2026-01-21 13:42:08,0,
2026-01-21 13:49:39,S100_2,ES9822QPRO,TGWBS04R21,B34_25C_FT1-RT1,2026-01-20 15:22:03,2026-01-21 13:46:02,7204,NS-4,running,6498,6493,723,463,5307,2026-01-21 13:45:36,0,
2026-01-21 16:20:26,S100_2,ES9822QPRO,TGWBS04R21,B34_25C_FT1-RT1,2026-01-20 15:22:03,2026-01-21 15:57:28,7204,NS-4,stopped,7204,7204,1006,567,5631,2026-01-21 15:59:21,0,
2026-01-21 16:41:34,S100_2,ES9822QPRO,TGWBS04R21,B1_25CC_EQ1,2026-01-21 16:35:41,2026-01-21 16:35:41,7204,NS-4,stopped,7204,7204,1006,567,5631,2026-01-21 16:37:48,0,
2026-01-22 02:59:32,HP-2,ES982X,TGWDSXX959,FT,2026-01-08 13:33:35,2026-01-08 13:33:35,135393,CHROMA,error,124349,124341,120254,2799,1288,2026-01-22 02:55:40,0,
